"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"893",77381,36919,17697,19222,17152,32641,"59362","339300","103439","4.1",32596,991,1637
"894",77382,40546,20027,20519,16873,32527,"61866","408100","139902","2.4",35736,1401,2331
"895",77384,16472,7861,8611,6059,14506,"44730","298100","85371","4.2",14088,665,1112
"896",77385,23578,12268,11310,5476,17259,"35924","205300","88220","8.0",18850,1072,1210
"897",77386,53042,26057,26985,14186,43464,"39323","205900","99076","3.6",42054,5201,2359
"898",77388,45841,23239,22602,11236,35548,"37415","172300","87574","5.3",33500,4793,3871
"899",77389,31883,15833,16050,11767,23621,"48226","283100","115725","4.9",26807,1436,1344
"900",77396,54352,27777,26575,9170,31928,"27270","130800","64195","12.7",26917,18817,1869
"901",77401,19062,9169,9893,11024,17355,"93024","802300","172205","2.0",13793,391,4283
"902",77406,41008,21386,19622,12921,31410,"43301","265700","114696","3.9",32448,3980,2239
"903",77407,48157,22337,25820,15418,40777,"31415","216900","96947","6.4",20401,13247,13556
"904",77412,105,82,23,18,105,"25128","95000","63750","0.0",105,0,0
"905",77414,23369,11561,11808,2338,13441,"23880","105500","46104","21.0",16768,3295,113
"906",77415,86,49,37,37,16,"21748","-","-","0.0",86,0,0
"907",77417,2760,1193,1567,374,1515,"23283","107100","42219","22.3",1830,676,0
"908",77418,9926,4784,5142,2104,8547,"31324","221200","59984","10.6",8419,990,0
"909",77419,1473,782,691,106,665,"22056","111300","60663","15.6",1300,27,0
"910",77420,2245,896,1349,76,1315,"22555","97800","46756","8.2",1824,145,0
"911",77422,13378,7193,6185,1020,10724,"24977","92000","53929","13.7",10838,1762,90
"912",77423,11551,5780,5771,1394,7085,"25229","166100","52019","14.5",7590,2438,120
"913",77426,2350,1270,1080,361,1858,"34238","152100","65352","14.6",1644,705,1
"914",77428,0,0,0,0,0,"-","-","-","-",0,0,0
"915",77429,86399,40857,45542,27310,70226,"41786","215000","103092","4.6",68199,7486,7693
"916",77430,2051,1074,977,409,1743,"35064","126800","72935","10.7",1950,0,0
"917",77433,75008,38137,36871,22129,53566,"38826","227800","103773","4.4",50565,12155,7409
"918",77434,4781,2184,2597,363,2494,"21742","58500","40250","17.6",2179,1486,0
"919",77435,4303,2158,2145,789,3029,"29816","139100","55284","14.7",4147,69,0
"920",77437,16875,8279,8596,1602,8321,"29860","133900","50465","18.8",14760,1296,16
"921",77441,9919,4994,4925,4082,8601,"62616","411900","160162","4.7",7713,634,961
"922",77442,922,478,444,180,579,"31825","114400","62386","12.0",799,68,0
"923",77445,13301,7374,5927,1203,9295,"21127","132100","43730","23.1",7197,4643,55
"924",77446,6095,2153,3942,144,5502,"5168","140600","20083","61.0",828,4888,96
"925",77447,15246,7535,7711,1691,10461,"29028","134900","72775","12.3",12241,1230,334
"926",77448,58,45,13,0,58,"11422","-","-","20.7",23,35,0
"927",77449,119204,57170,62034,18834,63656,"24693","142600","72397","9.5",71886,25216,6721
"928",77450,74631,35551,39080,26469,57516,"43426","242000","101240","4.6",55850,3916,9913
"929",77455,2026,981,1045,239,1537,"27768","128200","52798","8.8",1883,25,0
"930",77456,1323,663,660,151,618,"21363","75900","36397","23.9",1009,104,0
"931",77457,521,297,224,83,434,"19995","131300","35179","18.6",504,12,0
"932",77459,66175,32742,33433,26279,58639,"47617","246700","112161","3.3",30366,16736,15356
"933",77460,151,118,33,0,151,"18011","-","-","0.0",151,0,0
"934",77461,10752,5689,5063,1344,6784,"30396","139300","69621","5.7",9618,520,75
"935",77464,284,124,160,18,176,"34767","141900","54500","18.0",282,0,0
"936",77465,7269,3492,3777,843,4261,"24026","109100","49103","14.7",5474,162,615
"937",77466,353,221,132,35,167,"28109","114700","70000","4.2",317,3,0
"938",77469,46934,23176,23758,10181,29556,"32542","195800","82214","9.0",29597,8980,4562
"939",77470,399,206,193,24,236,"16980","-","-","15.5",276,0,0
"940",77471,38837,19450,19387,4122,15202,"21109","134900","49923","17.5",28929,5464,604
"941",77474,12993,6452,6541,1553,8436,"28144","162800","63152","15.6",9841,1088,14
"942",77475,882,385,497,84,762,"29551","77500","67000","7.3",851,31,0
"943",77476,194,115,79,25,123,"26095","324100","-","10.8",94,63,0
"944",77477,36932,18431,18501,8927,27027,"26282","153900","58524","15.1",13826,10378,8400
