"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"1140",78061,12595,7364,5231,485,2180,"17532","76900","40181","18.3",8877,303,89
"1141",78063,9936,5053,4883,2089,8137,"30323","160100","57514","12.4",9000,12,33
"1142",78064,15966,7993,7973,2225,7975,"30015","144500","66633","12.9",14374,256,62
"1143",78065,10181,5237,4944,627,2207,"21192","86600","49670","15.6",9667,11,25
"1144",78067,695,400,295,89,14,"63393","105000","55977","26.9",638,0,0
"1145",78069,5874,2865,3009,344,1105,"16307","88800","45135","24.8",4993,87,0
"1146",78070,15559,7941,7618,4020,12144,"42354","294300","87643","9.1",14707,203,0
"1147",78071,4510,2993,1517,300,2455,"20205","83200","53750","13.6",3855,282,78
"1148",78072,404,221,183,86,201,"29440","65900","71875","7.2",387,0,0
"1149",78073,9269,4566,4703,347,2320,"15897","69600","44385","23.9",8356,163,15
"1150",78075,166,41,125,8,77,"53996","124000","134375","38.0",152,0,0
"1151",78076,13202,6515,6687,851,841,"15867","60600","33914","34.0",12525,122,102
"1152",78101,6911,3418,3493,1245,4812,"30427","205500","85400","10.8",6098,15,21
"1153",78102,28648,17774,10874,1802,11867,"16562","81100","45246","21.0",24659,2747,161
"1154",78108,35986,17497,18489,8797,24570,"32010","205200","89919","6.5",24383,4352,977
"1155",78109,40093,19145,20948,5561,24070,"23073","136200","65220","9.6",21550,9949,1323
"1156",78112,8129,4071,4058,448,2384,"17503","81200","51131","15.1",6674,193,7
"1157",78113,2877,1518,1359,482,2402,"43588","152800","64767","8.5",2785,0,0
"1158",78114,22409,11101,11308,2440,11024,"27163","149700","64631","12.0",20919,198,114
"1159",78116,362,210,152,42,335,"57640","219600","86000","12.7",347,0,0
"1160",78117,453,252,201,88,409,"57554","212100","97500","1.3",428,0,0
"1161",78118,3862,1964,1898,435,1332,"24766","87100","47750","23.2",2687,69,6
"1162",78119,7521,5084,2437,476,3167,"20689","81700","48286","21.3",4701,1247,10
"1163",78121,12726,6478,6248,2397,10250,"35524","230500","90566","4.8",11827,386,11
"1164",78123,2527,1193,1334,334,1664,"36908","135100","56310","8.1",2032,62,0
"1165",78124,5961,2932,3029,939,4142,"27724","156800","63196","6.5",4571,191,12
"1166",78130,70055,33807,36248,14261,44384,"28453","176800","60370","10.4",63070,1401,937
"1167",78132,26918,13539,13379,9314,22295,"41823","328400","95979","5.6",24701,670,193
"1168",78133,18942,9793,9149,4354,15448,"33576","198900","58540","12.7",17307,53,68
"1169",78140,3736,1904,1832,149,955,"21317","66100","43333","21.2",1806,40,0
"1170",78141,484,240,244,56,310,"29359","79000","53929","13.9",382,15,0
"1171",78142,153,75,78,29,93,"44819","105800","133214","11.8",153,0,0
"1172",78144,40,29,11,13,40,"23810","-","25769","0.0",40,0,0
"1173",78145,91,34,57,0,3,"30756","113800","64750","0.0",91,0,0
"1174",78146,559,320,239,54,348,"24947","59500","62031","12.3",525,13,0
"1175",78147,2156,1045,1111,264,828,"25219","131700","67067","14.5",2094,0,1
"1176",78148,21456,10494,10962,4128,14697,"28176","156000","60547","8.9",15710,2398,496
"1177",78151,1529,764,765,153,478,"24260","102600","53523","19.2",949,12,0
"1178",78152,2155,1102,1053,391,1867,"33269","186800","78319","3.3",2063,0,0
"1179",78154,38293,18687,19606,9097,26601,"32919","180200","76451","7.2",26344,4631,1310
"1180",78155,47469,23390,24079,6296,26009,"25790","130800","51274","16.3",33466,2811,566
"1181",78159,993,493,500,51,524,"20000","54300","57500","10.5",547,6,0
"1182",78160,4424,2255,2169,549,3078,"27697","130600","57045","9.3",4246,67,37
"1183",78161,628,324,304,97,522,"34443","107900","42326","23.7",559,8,20
"1184",78162,410,263,147,43,316,"21805","72000","32330","10.2",403,0,0
"1185",78163,10703,5338,5365,3016,7810,"45257","335400","117528","6.6",9284,67,18
"1186",78164,3048,1473,1575,362,2230,"39151","93300","39854","15.5",2579,61,0
"1187",78201,47500,23366,24134,4968,7732,"18747","87400","36844","23.6",40688,1332,294
"1188",78202,12178,5801,6377,951,4395,"14321","70300","24744","39.9",6197,3340,17
"1189",78203,6456,3153,3303,592,2028,"15408","64600","31058","28.4",3649,1383,22
"1190",78204,12454,6155,6299,1964,1926,"26829","83500","41556","21.2",9570,88,105
"1191",78205,1041,569,472,335,581,"40280","350800","31706","20.5",877,51,0
"1192",78207,54071,28530,25541,1809,3701,"11900","57300","25517","39.8",45752,1885,175
"1193",78208,4704,2323,2381,220,1304,"12150","76300","25618","34.1",2929,707,0
"1194",78209,41274,19922,21352,18555,29629,"55268","337500","71538","9.4",36836,1380,811
"1195",78210,37801,18422,19379,3294,6881,"18306","84200","36583","25.4",26921,2648,125
"1196",78211,31952,16215,15737,1062,1327,"14066","66000","36202","21.3",28074,199,1
"1197",78212,28664,14488,14176,6661,10273,"31511","137900","42789","18.9",24908,661,450
"1198",78213,43394,21110,22284,6567,13835,"23686","114000","42708","20.9",37384,1696,530
"1199",78214,26013,13064,12949,1089,2287,"14122","70000","35072","28.1",21319,303,64
"1200",78215,2686,1730,956,1520,1408,"51450","-","59078","25.1",2181,79,55
"1201",78216,41042,20721,20321,10322,18091,"29446","172300","46186","16.1",33920,2826,1066
"1202",78217,33803,16522,17281,5596,18156,"25020","128400","45098","18.0",26249,3558,825
"1203",78218,35384,17519,17865,5028,16084,"20598","100600","40406","20.9",24310,5875,1227
"1204",78219,16376,7120,9256,1302,9073,"16793","80500","32795","25.5",9295,5007,243
"1205",78220,16833,8149,8684,1185,8750,"15221","70100","28633","30.6",6938,7490,137
"1206",78221,40249,20954,19295,1756,4636,"15932","79300","39531","23.1",34108,341,181
"1207",78222,24189,11781,12408,2299,9159,"20188","105800","48033","17.9",16701,4248,287
"1208",78223,54517,27395,27122,4093,10573,"18075","87400","40326","21.5",44925,2469,243
"1209",78224,21636,10922,10714,1203,1846,"16796","85300","47919","18.6",19081,214,61
"1210",78225,13933,6229,7704,774,648,"14489","66900","33057","30.0",11896,89,22
"1211",78226,6755,3163,3592,379,516,"16183","67800","30199","31.6",5393,100,30
"1212",78227,49793,24729,25064,2079,9133,"15653","83500","38804","23.6",42465,3040,693
"1213",78228,62371,30162,32209,4971,7521,"17025","88100","39317","26.3",56202,1574,436
"1214",78229,32338,16602,15736,7792,16059,"24347","134700","38837","25.4",24689,3622,1857
"1215",78230,45104,22023,23081,16300,22938,"37333","210600","59170","13.7",38145,2587,1664
"1216",78231,8453,3864,4589,3807,5637,"44680","255300","77045","7.3",7698,118,225
"1217",78232,38054,18948,19106,14105,25671,"39705","221100","70997","6.6",32948,2020,737
"1218",78233,47700,23564,24136,7134,26251,"25409","122500","56174","11.6",37596,4801,1274
"1219",78234,5552,2912,2640,777,4147,"16070","-","62938","9.1",3686,755,239
"1220",78235,1062,596,466,77,399,"38171","-","65069","13.0",808,53,0
"1221",78236,7048,4929,2119,666,5788,"15661","-","73859","9.8",4151,1195,325
"1222",78237,37508,18373,19135,1013,1516,"13041","58000","28273","31.4",33019,784,121
"1223",78238,25300,11730,13570,3690,7801,"23350","119600","45463","13.4",20568,1985,914
"1224",78239,28373,14021,14352,4569,15492,"24769","127300","59844","12.3",19111,5211,822
"1225",78240,58207,28758,29449,16849,31578,"28636","156300","52779","13.5",43430,3907,7085
"1226",78242,33219,16525,16694,1454,4197,"13771","72300","40789","24.4",28969,1041,154
"1227",78243,413,350,63,47,384,"23838","-","-","-",277,10,8
"1228",78244,30618,14021,16597,3805,15468,"23254","112200","60940","15.0",16342,8413,491
"1229",78245,72277,34732,37545,9448,23545,"21643","136700","63269","13.7",56433,6899,1164
"1230",78247,52885,25849,27036,11167,30002,"29766","162200","72719","8.1",45456,2894,943
"1231",78248,14372,6601,7771,6603,10750,"53323","298000","104132","3.1",13115,195,468
"1232",78249,56674,28402,28272,15225,30054,"28509","175600","62747","18.3",42628,4286,3761
"1233",78250,60906,29674,31232,11335,23620,"25909","134500","64826","9.8",47487,3282,2357
"1234",78251,58522,28520,30002,11622,22554,"28274","157500","65172","9.0",45180,5213,2035
"1235",78252,10593,6481,4112,840,2872,"16202","109600","56349","10.0",8740,623,37
"1236",78253,41188,19912,21276,11255,22438,"33321","224400","96847","6.6",32699,3750,1442
"1237",78254,56329,26477,29852,13408,24937,"27742","172700","82330","6.8",46300,3452,1228
"1238",78255,14507,7428,7079,5423,8913,"44718","300300","120814","7.0",11945,663,950
"1239",78256,9423,4795,4628,3760,6268,"49357","389300","101140","18.9",7349,596,951
"1240",78257,6107,2949,3158,2695,3441,"75100","578100","120955","7.3",5273,232,299
"1241",78258,45966,22216,23750,18741,31800,"46453","305200","104802","3.7",36162,2508,4050
"1242",78259,25873,12490,13383,9456,17664,"38985","240700","93002","3.8",21233,1065,1360
"1243",78260,27907,13944,13963,9945,19046,"42877","301500","116854","4.8",23494,1105,1243
"1244",78261,17143,8593,8550,5837,10607,"41354","272800","102860","4.1",14323,960,528
"1245",78263,5072,2486,2586,752,3797,"27795","186700","66379","5.6",3853,526,0
"1246",78264,10188,5083,5105,694,2360,"18321","80300","49855","18.8",8369,0,134
"1247",78266,6746,3247,3499,2835,5526,"48113","374900","114003","2.3",5226,826,192
"1248",78330,975,472,503,101,290,"21573","69700","42438","10.7",950,19,0
"1249",78332,28641,13722,14919,2220,4197,"21536","72600","41112","22.8",27604,196,237
"1250",78335,0,0,0,0,0,"-","-","-","-",0,0,0
"1251",78336,11828,6018,5810,947,6418,"24909","120000","40759","19.7",10559,263,64
"1252",78339,433,274,159,40,81,"23816","-","62917","13.2",406,0,0
"1253",78340,461,290,171,59,370,"25531","83400","52500","32.5",355,21,0
"1254",78341,2100,1189,911,248,62,"19459","43200","32143","21.3",1920,0,0
"1255",78342,361,207,154,26,5,"19499","-","40521","22.2",361,0,0
"1256",78343,4374,2249,2125,391,1131,"21639","80900","50172","20.1",4093,19,7
"1257",78344,270,160,110,77,37,"45517","98000","-","18.1",270,0,0
"1258",78349,685,383,302,18,16,"15183","40500","-","22.8",571,0,0
"1259",78351,391,165,226,14,71,"12796","33100","31875","40.9",356,0,0
"1260",78352,271,134,137,0,0,"11650","24200","-","0.0",271,0,0
"1261",78353,206,126,80,0,26,"20970","61300","22391","24.3",175,0,0
"1262",78355,7309,3769,3540,712,475,"13658","62500","25636","40.8",6457,66,0
"1263",78357,2912,1432,1480,120,619,"20659","54900","53891","16.2",2560,45,0
"1264",78358,682,363,319,91,389,"18763","36400","37933","11.4",512,0,24
"1265",78359,2056,1072,984,102,280,"20839","61600","47868","17.8",1887,3,52
"1266",78361,5357,2695,2662,404,324,"18465","63000","31990","25.5",5236,2,0
"1267",78362,9907,5047,4860,965,5641,"25972","122600","58565","11.6",8490,296,140
"1268",78363,29963,15451,14512,4207,8061,"19624","86900","41076","24.6",26113,1192,624
"1269",78368,9620,4867,4753,447,2689,"20046","61900","41830","25.0",9104,38,19
"1270",78370,4718,2314,2404,446,1248,"20408","79000","52209","22.9",4535,11,13
"1271",78371,307,180,127,6,6,"19965","63200","57500","34.5",301,0,0
"1272",78372,6233,2854,3379,240,2568,"16409","83800","36373","27.1",5994,42,0
"1273",78373,4084,1917,2167,1082,3944,"38491","250600","53113","9.7",3894,25,75
"1274",78374,17661,8887,8774,2938,10941,"31458","158400","64057","4.7",16704,274,230
"1275",78375,3055,1742,1313,325,403,"17335","66700","36993","30.6",2782,8,0
"1276",78376,760,442,318,18,140,"28609","36600","36850","13.6",705,0,32
"1277",78377,3770,1756,2014,314,1658,"22860","79700","50688","12.9",2752,283,0
"1278",78379,1576,838,738,236,659,"23247","78300","56917","8.1",1487,0,8
"1279",78380,24126,11884,12242,2078,5145,"21099","80400","46709","24.0",22966,169,43
"1280",78382,21537,10750,10787,3732,15997,"30237","166100","47039","16.9",19001,377,476
"1281",78383,4077,2074,2003,566,2537,"30377","123100","56225","10.5",3929,4,0
"1282",78384,5635,2687,2948,293,520,"16245","43500","23480","37.4",4743,120,0
"1283",78387,10062,4900,5162,604,3138,"21622","70400","51953","20.5",9331,198,156
"1284",78389,1623,805,818,73,491,"18839","65100","36705","20.5",1576,22,0
"1285",78390,5197,2632,2565,296,1351,"20485","70400","39149","18.1",4750,58,5
"1286",78393,2130,1113,1017,117,1157,"26668","80500","56250","13.8",1858,79,0
"1287",78401,5445,3052,2393,436,2211,"19713","60900","24676","35.1",4701,530,24
"1288",78402,272,138,134,103,246,"45036","141700","68264","13.6",240,21,0
"1289",78404,18467,9236,9231,3170,5955,"24076","94700","41513","23.4",16067,387,258
"1290",78405,15469,7733,7736,480,1400,"14794","51300","27744","28.2",13277,862,2
"1291",78406,1784,1121,663,51,439,"14430","54300","53804","8.8",1591,171,0
"1292",78407,3456,1820,1636,118,1200,"20044","59600","40776","21.7",2501,745,6
"1293",78408,12606,6382,6224,537,2109,"16960","69400","36484","22.2",11171,425,82
"1294",78409,2733,1333,1400,101,705,"23527","81500","55333","11.5",2646,24,0
"1295",78410,27087,12998,14089,3923,12176,"32140","139300","66336","11.7",24852,489,378
"1296",78411,26570,12697,13873,4153,9840,"28213","113600","53341","17.5",23843,936,455
"1297",78412,39286,19618,19668,6044,17344,"24153","120400","47591","22.0",34784,1599,985
"1298",78413,40070,19944,20126,8773,16587,"35469","167700","72522","9.2",34715,1689,1363
"1299",78414,38343,18684,19659,9672,18430,"37260","191700","83847","5.6",32666,1551,2106
"1300",78415,40496,19098,21398,2844,7332,"18864","88600","42995","18.9",36883,1361,102
"1301",78416,15493,7201,8292,466,1515,"15066","69500","36653","23.0",13535,1022,0
"1302",78417,4176,2134,2042,231,587,"18620","82100","45873","11.2",3446,338,7
"1303",78418,31120,16087,15033,6468,22946,"35498","171500","64167","12.7",27433,990,1099
"1304",78419,919,477,442,141,716,"20680","-","51518","7.2",560,232,52
"1305",78501,64340,31657,32683,10115,7690,"17546","98300","34853","30.3",50557,374,1106
"1306",78503,22877,11717,11160,3430,2167,"20459","93200","32968","29.4",16824,384,421
"1307",78504,53665,26554,27111,13254,11332,"26969","148400","63158","18.4",45592,689,2077
"1308",78516,35223,17383,17840,1827,2771,"12323","52600","32854","37.0",32872,61,0
"1309",78520,62804,30558,32246,6758,4229,"14971","83800","32612","32.6",60455,286,305
"1310",78521,92975,44754,48221,6487,3630,"12173","69000","28935","37.8",89206,94,353
"1311",78526,47125,22353,24772,7566,4060,"18185","108100","53757","23.4",44188,413,624
"1312",78535,678,356,322,28,120,"15881","63500","-","30.7",669,0,0
"1313",78536,400,225,175,17,16,"14020","32800","-","23.0",366,0,0
"1314",78537,45606,22711,22895,2070,3012,"11235","56000","27961","42.6",40548,277,78
"1315",78538,10912,5254,5658,546,202,"11676","52300","27996","38.3",10052,0,0
"1316",78539,34991,16715,18276,8147,5004,"23504","125700","55507","21.0",29880,582,1683
"1317",78541,44387,21601,22786,4723,2952,"14819","82700","33829","31.6",39903,317,109
"1318",78542,75822,38525,37297,5578,5015,"12512","77700","36538","35.0",67743,1093,225
"1319",78543,8886,3756,5130,534,67,"12126","57400","31994","31.7",8676,74,0
"1320",78548,649,304,345,7,0,"14350","47500","-","25.4",649,0,0
"1321",78549,925,398,527,43,17,"7172","71700","16000","71.1",860,0,0
"1322",78550,52746,26621,26125,5381,9172,"17241","80000","36069","32.6",48697,452,511
"1323",78552,38352,18143,20209,5439,8337,"21469","100000","48900","21.9",35054,512,355
"1324",78557,13859,7266,6593,1406,111,"12498","88700","33627","30.3",10172,1,0
"1325",78558,1121,641,480,29,0,"16770","72200","34593","21.9",1078,0,0
"1326",78559,12579,6355,6224,1272,1449,"18769","69100","41422","24.4",11670,11,168
"1327",78560,4846,2401,2445,204,203,"14984","83600","38871","35.9",4539,0,0
"1328",78561,772,391,381,22,36,"12652","36500","29712","36.4",747,0,0
"1329",78562,4099,2351,1748,142,59,"9523","45900","29605","38.3",3656,30,0
"1330",78565,133,84,49,24,63,"13505","-","26080","0.0",133,0,0
"1331",78566,18120,9152,8968,1816,2247,"15511","89300","40008","35.0",16778,53,39
"1332",78567,521,210,311,25,27,"14145","52300","20938","22.5",515,0,0
"1333",78569,4110,1984,2126,346,624,"15238","57100","34572","26.1",3969,0,0
"1334",78570,34560,17088,17472,2180,1266,"12720","59600","32424","37.0",29856,180,0
"1335",78572,78770,38614,40156,10293,10213,"19036","84500","40705","26.2",72072,95,1381
"1336",78573,38420,17744,20676,2668,1783,"14786","88500","35740","33.5",35546,107,342
"1337",78574,61238,29351,31887,4514,3438,"13931","79800","34511","39.3",58026,218,138
"1338",78575,9762,4693,5069,1771,1344,"23803","127200","52150","15.1",9061,0,250
"1339",78576,11044,5300,5744,212,140,"9595","62000","21825","59.6",10634,0,0
"1340",78577,76821,36274,40547,6365,4375,"14817","74900","39388","29.3",71204,125,234
"1341",78578,11727,5310,6417,1732,3534,"20726","117600","36191","28.8",10992,19,137
"1342",78579,4775,2356,2419,409,1,"14207","56700","44886","24.6",3915,0,0
"1343",78580,14943,8580,6363,807,1785,"12849","49500","28271","37.6",14233,159,22
"1344",78582,42644,21178,21466,2332,453,"14325","66400","30634","29.4",40544,24,68
"1345",78583,6820,3224,3596,757,1627,"20184","59800","34189","27.2",6668,15,4
"1346",78584,18757,8589,10168,1129,40,"10461","71400","21127","48.1",17797,9,0
"1347",78585,313,194,119,12,0,"9714","-","13348","43.1",313,0,0
"1348",78586,56086,27015,29071,3651,3023,"12958","59300","29535","35.3",51778,110,96
"1349",78589,40709,19664,21045,3094,1115,"15089","83300","35695","30.3",38943,16,1
"1350",78590,288,134,154,0,0,"14220","33400","26875","33.0",275,0,0
"1351",78591,285,134,151,16,8,"19961","-","45625","3.9",285,0,0
"1352",78592,936,414,522,26,0,"12169","34100","31339","33.8",828,0,0
"1353",78593,6114,3091,3023,318,169,"11519","54000","26705","38.0",5523,0,0
"1354",78594,1632,697,935,52,80,"11528","43900","19116","43.3",1632,0,0
"1355",78595,6330,2817,3513,201,62,"10260","60900","24012","44.6",6166,0,0
"1356",78596,65013,32104,32909,5866,5615,"15562","74900","34339","30.4",56597,174,500
"1357",78597,2856,1408,1448,1091,1977,"49054","288000","45060","10.8",2717,21,0
"1358",78598,95,37,58,31,84,"39256","115600","-","31.6",95,0,0
"1359",78602,28027,14856,13171,4678,19481,"24889","165000","58509","12.3",22863,2049,401
"1360",78605,5955,3040,2915,633,4788,"26058","151200","63154","15.2",5690,66,64
"1361",78606,5552,2753,2799,1129,4240,"31601","242300","47500","12.5",4822,0,59
"1362",78607,77,47,30,46,77,"25836","-","21875","9.1",77,0,0
"1363",78608,387,213,174,87,361,"39213","160200","108110","0.0",387,0,0
"1364",78609,1948,974,974,359,1895,"33934","162900","40574","11.5",1918,0,0
"1365",78610,32692,16235,16457,8355,19774,"31766","224600","76623","7.4",27653,1321,535
"1366",78611,13016,6486,6530,2188,10219,"27519","159000","54088","15.7",12017,189,33
"1367",78612,12484,6442,6042,2048,6980,"24319","145500","59894","13.6",8918,1055,88
"1368",78613,77779,38296,39483,24860,63331,"38378","255200","96857","3.8",63298,2511,6448
"1369",78614,556,320,236,100,488,"33928","169300","65703","10.6",431,61,0
"1370",78615,931,500,431,185,741,"29825","160900","43988","14.8",904,15,0
"1371",78616,7518,3879,3639,407,3169,"21706","114600","53457","16.7",6361,268,0
"1372",78617,27900,14922,12978,1971,7601,"18598","123900","52819","18.7",14282,2945,433
"1373",78618,353,171,182,58,328,"38712","287500","80139","5.9",322,0,8
"1374",78619,4124,2096,2028,1460,3605,"51554","445600","117212","5.7",3827,11,34
"1375",78620,15452,7852,7600,5292,12861,"44995","352300","98125","9.1",14659,80,106
"1376",78621,22261,11152,11109,2712,13535,"24712","137300","58730","15.6",16314,2891,102
"1377",78623,781,305,476,278,695,"29752","222500","60208","7.2",598,102,0
"1378",78624,21687,10602,11085,5803,16950,"33072","278100","57104","13.3",20125,2,31
"1379",78626,32529,15166,17363,6686,21787,"27557","188400","62860","9.3",28659,1889,352
"1380",78628,30322,14948,15374,9575,25758,"42420","267200","84147","6.9",27823,768,239
"1381",78629,12341,6056,6285,1289,6906,"24728","112000","48507","18.3",7443,1120,17
"1382",78631,2729,1242,1487,525,2208,"30495","202900","50750","6.9",2678,0,0
"1383",78632,821,516,305,92,516,"29927","131400","43750","5.5",563,0,0
"1384",78633,24727,11500,13227,11394,23251,"45676","285300","74375","4.0",23550,258,292
"1385",78634,29770,14413,15357,5726,20175,"28653","171300","77092","8.0",23096,3908,508
"1386",78636,3882,1909,1973,1020,3256,"31113","221400","60226","10.4",3759,1,5
"1387",78638,2103,1000,1103,326,1552,"24435","127400","54514","12.9",1822,0,0
"1388",78639,8046,3870,4176,1009,7300,"27244","118500","41230","13.5",7720,9,74
"1389",78640,52981,26746,26235,8789,24476,"25204","160500","69014","10.4",45156,2557,347
"1390",78641,60135,30201,29934,14866,45718,"35246","213100","88562","6.5",51846,2293,1643
"1391",78642,11087,5272,5815,2099,9907,"35458","258600","85896","5.4",10340,48,30
"1392",78643,5901,2960,2941,1299,4876,"28283","179000","53825","15.2",5108,25,3
"1393",78644,18287,9270,9017,1901,8931,"24357","132900","58005","10.2",14100,1028,386
"1394",78645,10705,5137,5568,3105,9511,"41326","207300","75761","7.0",9952,249,84
"1395",78648,7791,3791,4000,873,4455,"25106","113900","43385","22.1",5895,539,24
"1396",78650,1663,756,907,195,983,"26158","137500","59769","17.0",1343,5,1
"1397",78652,4965,2422,2543,1684,3123,"37864","239500","87520","6.8",4476,156,25
"1398",78653,20822,10350,10472,3311,11048,"24618","160600","66752","13.6",11247,5006,335
"1399",78654,18488,8877,9611,3562,13415,"29596","182400","56488","10.5",17431,288,162
"1400",78655,3415,1630,1785,399,1044,"25633","163900","57009","20.0",2772,108,0
"1401",78656,2513,1226,1287,234,778,"17155","104600","45260","26.5",2215,0,0
"1402",78657,5868,2735,3133,2265,5210,"55631","314300","73472","7.9",5402,222,28
"1403",78659,3136,1730,1406,415,2685,"28256","144700","64808","8.5",2927,123,8
"1404",78660,85450,41644,43806,21723,58105,"32759","198500","81693","7.3",55940,13462,8032
"1405",78661,416,278,138,12,237,"28004","95000","46250","7.1",280,29,0
"1406",78662,2485,1060,1425,276,2212,"28567","163200","80315","9.4",2345,11,17
"1407",78663,913,462,451,240,810,"31934","-","74397","11.7",835,75,0
"1408",78664,61361,30254,31107,13053,40810,"29552","172900","67462","10.4",44878,7412,3403
"1409",78665,46109,22804,23305,12989,33715,"33410","230000","92511","5.8",32957,4970,3696
"1410",78666,77355,38420,38935,12596,43633,"20448","148300","38100","30.4",65118,4281,1316
"1411",78669,11375,5182,6193,4443,10447,"48864","418500","100862","5.6",10547,112,344
"1412",78670,164,90,74,11,120,"28304","112500","46500","2.4",142,5,0
"1413",78672,1248,656,592,203,1240,"31242","117700","50817","12.7",1248,0,0
"1414",78676,13231,6707,6524,4463,12090,"38941","245200","71051","4.9",12775,29,110
"1415",78681,57234,28693,28541,19833,44239,"37504","256100","100622","5.3",45188,2979,5120
"1416",78701,7875,4667,3208,5616,6632,"109136","476700","112201","13.4",6714,333,520
"1417",78702,22876,11643,11233,7394,12115,"31332","297700","54053","23.2",16739,3025,431
"1418",78703,20788,10429,10359,14197,19404,"79101","767400","98553","6.5",18558,120,1653
"1419",78704,47158,24489,22669,25205,34837,"46947","464400","66262","15.2",41998,1496,1444
"1420",78705,33075,15932,17143,5353,27432,"12956","417800","15309","63.0",23827,2347,4910
"1421",78712,845,413,432,18,660,"3606","-","-","-",591,156,18
"1422",78717,27764,13511,14253,11543,23945,"45258","319800","104167","3.8",18291,1097,6786
"1423",78719,2007,1015,992,119,346,"16838","129700","46833","14.9",1300,105,6
"1424",78721,12447,5885,6562,2252,6526,"20187","212400","41611","27.7",6841,3851,185
"1425",78722,7254,3266,3988,4539,6285,"43161","358900","69267","10.1",5754,853,188
"1426",78723,33170,16301,16869,9737,19487,"29017","268700","49606","23.2",22059,6287,720
"1427",78724,24833,12578,12255,1822,8428,"15450","122100","45158","26.6",14320,5317,63
"1428",78725,7517,4044,3473,899,3762,"23671","137800","62172","18.1",4111,1831,88
"1429",78726,14610,7251,7359,6647,12553,"47885","392800","88322","4.1",10365,928,2611
"1430",78727,28999,14821,14178,13168,23722,"41208","249700","74458","6.2",19968,1828,5040
"1431",78728,21245,10475,10770,7146,15132,"35054","205500","55603","9.8",13304,3956,1768
"1432",78729,29434,15487,13947,11309,22777,"39379","234200","73047","6.5",23254,1643,2726
"1433",78730,8933,4391,4542,5152,7806,"76909","659400","108750","1.8",7895,76,414
"1434",78731,27447,13119,14328,16754,24686,"64934","572700","89099","9.3",23021,721,2268
"1435",78732,17762,8624,9138,8401,15807,"62783","495800","142612","1.8",15215,120,2056
"1436",78733,8754,4225,4529,4367,8009,"71845","533800","136563","1.8",7196,17,1064
"1437",78734,18722,8963,9759,8380,15789,"56728","377400","107827","6.5",17405,251,475
"1438",78735,17919,8769,9150,8963,14553,"63894","463200","102551","9.0",15496,518,1414
"1439",78736,8199,3800,4399,3426,6973,"50611","313700","107467","2.8",7515,37,338
"1440",78737,15879,8023,7856,7074,13621,"50418","394600","127136","2.1",14313,237,498
"1441",78738,15746,7697,8049,7972,14187,"60798","496300","123836","4.4",13640,210,1437
"1442",78739,20191,10414,9777,10277,17261,"55652","426700","147736","2.2",16935,403,2024
"1443",78741,52307,28745,23562,10174,23824,"22181","156800","39049","30.6",36884,6286,2303
"1444",78742,517,280,237,96,290,"23591","86100","33182","22.3",381,87,0
"1445",78744,48432,24895,23537,5276,11797,"18572","121500","47073","24.6",36045,3510,425
"1446",78745,62220,31086,31134,19594,37170,"32404","229200","60567","12.4",53879,2911,1669
"1447",78746,28268,13882,14386,17237,24702,"84115","812900","136138","5.0",24871,189,2106
"1448",78747,20954,9845,11109,4517,8467,"27493","203800","79500","5.1",16339,1375,456
"1449",78748,49142,24525,24617,17192,31713,"34595","238600","74176","9.6",40617,3015,2295
"1450",78749,37453,18638,18815,19062,30155,"45232","296900","92313","4.8",30820,1185,3574
"1451",78750,30758,14805,15953,13433,26606,"47248","359500","81061","7.5",22617,1206,5029
"1452",78751,14949,7781,7168,8663,12333,"42009","395200","54129","19.5",12373,373,998
"1453",78752,20302,11468,8834,4960,8373,"24519","233900","41486","25.9",12808,1779,365
"1454",78753,58693,31390,27303,7917,22694,"22774","161000","45983","20.7",35101,6597,3543
"1455",78754,23858,11719,12139,6484,14095,"30299","183200","64114","11.5",13224,4216,2925
"1456",78756,8377,4148,4229,5471,7319,"56590","476700","73578","5.9",7115,379,382
"1457",78757,24059,11828,12231,10830,18648,"43043","348600","65709","14.9",19808,317,776
"1458",78758,46618,24489,22129,12172,24900,"27889","178100","50018","20.0",31026,3687,2815
"1459",78759,41847,21093,20754,22721,36170,"51401","389900","76749","5.4",33736,1510,4505
"1460",78801,22156,10752,11404,2065,5789,"18718","76700","40837","17.9",19265,62,275
"1461",78827,1110,442,668,113,354,"15241","60700","24271","42.3",1084,2,0
"1462",78829,1195,490,705,92,39,"8447","41200","14309","62.0",1132,0,0
"1463",78830,867,483,384,52,59,"13316","43800","19643","42.0",857,0,0
"1464",78832,3631,2234,1397,319,1386,"21395","64200","34926","10.6",3513,4,0
"1465",78833,1403,643,760,212,933,"19411","76500","32000","26.5",1363,0,0
"1466",78834,8662,4297,4365,503,1014,"18859","71700","33295","27.8",8011,4,21
"1467",78837,190,110,80,37,108,"21262","-","-","40.0",190,0,0
"1468",78838,202,110,92,23,162,"24414","239700","42841","5.4",202,0,0
"1469",78839,9251,4764,4487,380,398,"13193","38200","28333","34.1",8293,61,4
"1470",78840,48317,24425,23892,5658,8601,"20152","94900","44659","20.7",44729,653,283
"1471",78843,409,289,120,12,355,"21807","-","-","0.0",338,11,0
